;id;Name;SMILE;Taste;Reference;Note;SMILES_check;Std_SMILES;Parent_SMILES
630;645;442506;C=C[C@@H]1[C@@H]2CCNC(=O)C2=CO[C@H]1O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O;Bitter;BitterDB;none;C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)NCC[C@H]21;C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)NCC[C@H]21;C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C2C(=O)NCC[C@H]21
631;646;442538;C[C@H](CCC1=CC=C(C=C1)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O;Bitter;BitterDB;none;C[C@H](CCc1ccc(O)cc1)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;C[C@H](CCc1ccc(O)cc1)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;C[C@H](CCc1ccc(O)cc1)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
632;647;442971;C[C@H]1CC[C@@H]2[C@H]([C@H]3[C@@H](N2C1)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O)C)C)C;Bitter;BitterDB;none;C[C@H]1CC[C@@H]2[C@@H](C)[C@H]3[C@H](C[C@H]4[C@@H]5CC=C6C[C@@H](O[C@@H]7O[C@H](CO)[C@@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H](O)[C@H]7O[C@@H]7O[C@@H](C)[C@H](O)[C@@H](O)[C@H]7O)CC[C@]6(C)[C@H]5CC[C@@]43C)N2C1;C[C@H]1CC[C@@H]2[C@@H](C)[C@H]3[C@H](C[C@H]4[C@@H]5CC=C6C[C@@H](O[C@@H]7O[C@H](CO)[C@@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H](O)[C@H]7O[C@@H]7O[C@@H](C)[C@H](O)[C@@H](O)[C@H]7O)CC[C@]6(C)[C@H]5CC[C@@]43C)N2C1;C[C@H]1CC[C@@H]2[C@@H](C)[C@H]3[C@H](C[C@H]4[C@@H]5CC=C6C[C@@H](O[C@@H]7O[C@H](CO)[C@@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H](O)[C@H]7O[C@@H]7O[C@@H](C)[C@H](O)[C@@H](O)[C@H]7O)CC[C@]6(C)[C@H]5CC[C@@]43C)N2C1
633;648;443314;CCCCCCCCCCCC(=O)OCCOCC(C1C(C(CO1)OCCO)OCCO)OCCO;Bitter;BitterDB;none;CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO;CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO;CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO
634;649;443433;CCCC(=O)NC1CCOC1=O;Bitter;BitterDB;none;CCCC(=O)NC1CCOC1=O;CCCC(=O)NC1CCOC1=O;CCCC(=O)NC1CCOC1=O
635;650;443440;C1C[C@H]2C(=O)N[C@H](C(=O)N2C1)CC3=CC=CC=C3;Bitter;BitterDB;none;O=C1N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]12;O=C1N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]12;O=C1N[C@@H](Cc2ccccc2)C(=O)N2CCC[C@@H]12
636;651;443652;COC1=CC(=CC(=C1O)OC)C2=C(C=C3C(=CC(=CC3=[O+]2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O;Bitter;BitterDB;none;COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O;COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O;COc1cc(-c2[o+]c3cc(O)cc(O)c3cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O
637;652;443949;C1CN(CCN1CCO)C(=O)CN2C3=C(C=CC(=C3)Cl)SC2=O.Cl;Bitter;BitterDB;none;Cl.O=C(Cn1c(=O)sc2ccc(Cl)cc21)N1CCN(CCO)CC1;Cl.O=C(Cn1c(=O)sc2ccc(Cl)cc21)N1CCN(CCO)CC1;O=C(Cn1c(=O)sc2ccc(Cl)cc21)N1CCN(CCO)CC1
638;653;445154;C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O;Bitter;BitterDB;none;Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
639;654;445238;CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O;Bitter;BitterDB;none;CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O;CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
640;655;445580;CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O;Bitter;BitterDB;none;CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O;CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O;CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O
641;656;455264;CC(C)C1=C(C(=C2C(=C1)C3CC4[C@@]2(CCCC4(C)C)C(=O)O3)O)O;Bitter;BitterDB;none;CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)C1CC2OC3=O;CC(C)c1c(O)c(O)c2c(c1)C1CC3C(C)(C)CCC[C@]23C(=O)O1;CC(C)c1c(O)c(O)c2c(c1)C1CC3C(C)(C)CCC[C@]23C(=O)O1
642;657;470970;C=C1CC[C@@H]2[C@@H]([C@@H]3[C@H]1C[C@H](C3=C)O)OC(=O)C2=C;Bitter;BitterDB;none;C=C1C(=O)O[C@H]2[C@H]1CCC(=C)[C@@H]1C[C@@H](O)C(=C)[C@H]21;C=C1C(=O)O[C@H]2[C@H]1CCC(=C)[C@@H]1C[C@@H](O)C(=C)[C@H]21;C=C1C(=O)O[C@H]2[C@H]1CCC(=C)[C@@H]1C[C@@H](O)C(=C)[C@H]21
643;658;471002;C[C@H](CC(=O)C[C@@H](C)C(=O)O)[C@H]1C[C@@H]([C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CCC(=O)C4(C)C)C)O)C)C)O;Bitter;BitterDB;none;C[C@H](CC(=O)C[C@@H](C)[C@H]1C[C@H](O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O)C(=O)O;C[C@H](CC(=O)C[C@@H](C)[C@H]1C[C@H](O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O)C(=O)O;C[C@H](CC(=O)C[C@@H](C)[C@H]1C[C@H](O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O)C(=O)O
644;659;494227;CC12CCCC3(C1CCC45C3CCC(C4)C(=C)C5O)C6N(C2)CCO6;Bitter;BitterDB;none;C=C1C2CCC3C(CCC4C5(C)CCCC43C3OCCN3C5)(C2)C1O;C=C1C2CCC3C(CCC4C5(C)CCCC43C3OCCN3C5)(C2)C1O;C=C1C2CCC3C(CCC4C5(C)CCCC43C3OCCN3C5)(C2)C1O
645;660;509245;CC(=CCC1=C(C=C(C2=C1OC(CC2=O)C3=CC=C(C=C3)O)O)O)C;Bitter;BitterDB;none;CC(C)=CCc1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2=O;CC(C)=CCc1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2=O;CC(C)=CCc1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2=O
646;661;513197;CC(=CCC1=C(C=C(C2=C1OC(CC2=O)C3=CC=C(C=C3)O)OC)O)C;Bitter;BitterDB;none;COc1cc(O)c(CC=C(C)C)c2c1C(=O)CC(c1ccc(O)cc1)O2;COc1cc(O)c(CC=C(C)C)c2c1C(=O)CC(c1ccc(O)cc1)O2;COc1cc(O)c(CC=C(C)C)c2c1C(=O)CC(c1ccc(O)cc1)O2
647;662;517055;C1=CC=C(C=C1)C(=O)[O-].[Na+];Bitter;BitterDB;none;O=C([O-])c1ccccc1.[Na+];O=C([O-])c1ccccc1.[Na+];O=C([O-])c1ccccc1.[Na+]
648;663;534962;CC(C)CC(=O)C1=C(C(C(C1=O)(C(=O)CC=C(C)C)O)(CC=C(C)C)O)O;Bitter;BitterDB;none;CC(C)=CCC(=O)C1(O)C(=O)C(C(=O)CC(C)C)=C(O)C1(O)CC=C(C)C;CC(C)=CCC(=O)C1(O)C(=O)C(C(=O)CC(C)C)=C(O)C1(O)CC=C(C)C;CC(C)=CCC(=O)C1(O)C(=O)C(C(=O)CC(C)C)=C(O)C1(O)CC=C(C)C
649;664;550598;CC(C)C(=O)C1C(=O)C(=O)C(C1=O)(CC=C(C)C)CC=C(C)C;Bitter;BitterDB;none;CC(C)=CCC1(CC=C(C)C)C(=O)C(=O)C(C(=O)C(C)C)C1=O;CC(C)=CCC1(CC=C(C)C)C(=O)C(=O)C(C(=O)C(C)C)C1=O;CC(C)=CCC1(CC=C(C)C)C(=O)C(=O)C(C(=O)C(C)C)C1=O
650;665;566062;CC1C2CCC3(C4(O3)CC=C(C4C2OC1=O)C)C;Bitter;BitterDB;none;CC1=CCC23OC2(C)CCC2C(C)C(=O)OC2C13;CC1=CCC23OC2(C)CCC2C(C)C(=O)OC2C13;CC1=CCC23OC2(C)CCC2C(C)C(=O)OC2C13
651;666;585911;CC1=CCC(CC1)C(C)(C)OC(=O)CC(C)C;Bitter;BitterDB;none;CC1=CCC(C(C)(C)OC(=O)CC(C)C)CC1;CC1=CCC(C(C)(C)OC(=O)CC(C)C)CC1;CC1=CCC(C(C)(C)OC(=O)CC(C)C)CC1
652;667;630403;CC(C)CC(=O)C1=C(C(=O)C(C1=O)(CC=C(C)C)CC=C(C)C)O;Bitter;BitterDB;none;CC(C)=CCC1(CC=C(C)C)C(=O)C(O)=C(C(=O)CC(C)C)C1=O;CC(C)=CCC1(CC=C(C)C)C(=O)C(O)=C(C(=O)CC(C)C)C1=O;CC(C)=CCC1(CC=C(C)C)C(=O)C(O)=C(C(=O)CC(C)C)C1=O
653;668;636760;CC1=CC[C@@]23[C@@H]1[C@@H]4[C@@H](CC[C@@]2(O3)C)C(=C)C(=O)O4;Bitter;BitterDB;none;C=C1C(=O)O[C@H]2[C@H]1CC[C@]1(C)O[C@@]13CC=C(C)[C@@H]23;C=C1C(=O)O[C@H]2[C@H]1CC[C@]1(C)O[C@@]13CC=C(C)[C@@H]23;C=C1C(=O)O[C@H]2[C@H]1CC[C@]1(C)O[C@@]13CC=C(C)[C@@H]23
654;669;637760;C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2;Bitter;BitterDB;none;O=C(/C=C/c1ccccc1)c1ccccc1;O=C(/C=C/c1ccccc1)c1ccccc1;O=C(/C=C/c1ccccc1)c1ccccc1
655;670;637775;COC1=CC(=CC(=C1O)OC)/C=C/C(=O)O;Bitter;BitterDB;none;COc1cc(/C=C/C(=O)O)cc(OC)c1O;COc1cc(/C=C/C(=O)O)cc(OC)c1O;COc1cc(/C=C/C(=O)O)cc(OC)c1O
656;671;637776;C/C=C/C1=CC(=C(C=C1)OC)OC;Bitter;BitterDB;none;C/C=C/c1ccc(OC)c(OC)c1;C/C=C/c1cc(OC)c(OC)cc1;C/C=C/c1cc(OC)c(OC)cc1
657;672;638011;CC(=CCC/C(=C/C=O)/C)C;Bitter;BitterDB;none;CC(C)=CCC/C(C)=C/C=O;CC(C)=CCC/C(C)=C/C=O;CC(C)=CCC/C(C)=C/C=O
658;673;638023;CN1[C@H]2CC[C@@H]1[C@@H]([C@@H](C2)OC(=O)C3=CC=CC=C3)C(=O)OC;Bitter;BitterDB;none;COC(=O)[C@@H]1[C@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C;COC(=O)[C@@H]1[C@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C;COC(=O)[C@@H]1[C@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C
659;674;638278;C1=CC(=CC=C1/C=C/C(=O)C2=C(C=C(C=C2)O)O)O;Bitter;BitterDB;none;O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O;O=C(/C=C/c1ccc(O)cc1)c1c(O)cc(O)cc1;O=C(/C=C/c1ccc(O)cc1)c1c(O)cc(O)cc1
660;675;639665;CC(=CCC1=C(C=C(C(=C1O)C(=O)/C=C/C2=CC=C(C=C2)O)OC)O)C;Bitter;BitterDB;none;COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)/C=C/c1ccc(O)cc1;COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)/C=C/c1ccc(O)cc1;COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)/C=C/c1ccc(O)cc1
661;676;643820;CC(=CCC/C(=C\CO)/C)C;Bitter;BitterDB;none;CC(C)=CCC/C(C)=C\CO;CC(C)=CCC/C(C)=C\CO;CC(C)=CCC/C(C)=C\CO
662;677;644020;C1CCN2C[C@@H]3C[C@H]([C@H]2C1)CN4[C@H]3CCCC4;Bitter;BitterDB;none;C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@H]34)[C@@H]2C1;C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@H]34)[C@@H]2C1;C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@H]34)[C@@H]2C1
663;679;657298;CCCC1=CC(=O)NC(=S)N1;Bitter;BitterDB;none;CCCc1cc(=O)[nH]c(=S)[nH]1;CCCc1cc(=O)[nH]c(=S)[nH]1;CCCc1cc(=O)[nH]c(=S)[nH]1
664;680;657302;C1=CC=C(C=C1)C2(C(=O)[N-]C(=O)N2)C3=CC=CC=C3.[Na+];Bitter;BitterDB;none;O=C1[N-]C(=O)C(c2ccccc2)(c2ccccc2)N1.[Na+];O=C1[N-]C(=O)C(c2ccccc2)(c2ccccc2)N1.[Na+];O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
665;681;667477;CN(C)CC/C=C/1\C2=CC=CC=C2COC3=CC=CC=C31;Bitter;BitterDB;none;CN(C)CC/C=C1\c2ccccc2COc2ccccc21;CN(C)CC/C=C1\c2ccccc2COc2ccccc12;CN(C)CC/C=C1\c2ccccc2COc2ccccc12
666;682;667493;CC1=CC(=O)NC(=S)N1;Bitter;BitterDB;none;Cc1cc(=O)[nH]c(=S)[nH]1;Cc1cc(=O)[nH]c(=S)[nH]1;Cc1cc(=O)[nH]c(=S)[nH]1
667;683;667581;C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=CC(=C3)O)O)O)O;Bitter;BitterDB;none;O=c1c(O)c(-c2ccc(O)c(O)c2)oc2ccc(O)cc12;O=c1c(O)c(-c2cc(O)c(O)cc2)oc2c1cc(O)cc2;O=c1c(O)c(-c2cc(O)c(O)cc2)oc2c1cc(O)cc2
668;684;667687;C[C@@H](CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C;Bitter;BitterDB;none;C[C@@H](CN1c2ccccc2Sc2ccccc21)N(C)C;C[C@@H](CN1c2ccccc2Sc2ccccc21)N(C)C;C[C@@H](CN1c2ccccc2Sc2ccccc21)N(C)C
669;685;676294;COC1=C(C=C2C(=C1)C(=O)C=C(O2)C3=CC=CC=C3)OC;Bitter;BitterDB;none;COc1cc2oc(-c3ccccc3)cc(=O)c2cc1OC;COc1c(OC)cc2c(=O)cc(-c3ccccc3)oc2c1;COc1c(OC)cc2c(=O)cc(-c3ccccc3)oc2c1
670;686;676306;COC1=CC2=C(C=C1)OC(=CC2=O)C3=CC=C(C=C3)O;Bitter;BitterDB;none;COc1ccc2oc(-c3ccc(O)cc3)cc(=O)c2c1;COc1cc2c(cc1)oc(-c1ccc(O)cc1)cc2=O;COc1cc2c(cc1)oc(-c1ccc(O)cc1)cc2=O
671;687;676307;COC1=CC2=C(C=C1)C(=O)C=C(O2)C3=CC=C(C=C3)O;Bitter;BitterDB;none;COc1ccc2c(=O)cc(-c3ccc(O)cc3)oc2c1;COc1cc2c(cc1)c(=O)cc(-c1ccc(O)cc1)o2;COc1cc2c(cc1)c(=O)cc(-c1ccc(O)cc1)o2
672;688;676454;C1=CC=C(C=C1)NC(=S)N;Bitter;BitterDB;none;NC(=S)Nc1ccccc1;NC(=S)Nc1ccccc1;NC(=S)Nc1ccccc1
673;689;676946;CCOC(=O)/C=C/C1=CC=C(C=C1)O;Bitter;BitterDB;none;CCOC(=O)/C=C/c1ccc(O)cc1;CCOC(=O)/C=C/c1ccc(O)cc1;CCOC(=O)/C=C/c1ccc(O)cc1
674;690;688660;C1=CC=C(C(=C1)C2=CC(=O)C3=C(O2)C=CC=C3O)O;Bitter;BitterDB;none;O=c1cc(-c2ccccc2O)oc2cccc(O)c12;O=c1cc(-c2ccccc2O)oc2c1c(O)ccc2;O=c1cc(-c2ccccc2O)oc2c1c(O)ccc2
675;691;689043;C1=CC(=C(C=C1/C=C/C(=O)O)O)O;Bitter;BitterDB;none;O=C(O)/C=C/c1ccc(O)c(O)c1;O=C(O)/C=C/c1cc(O)c(O)cc1;O=C(O)/C=C/c1cc(O)c(O)cc1
676;692;700999;C1=CC=C(C=C1)NC(=S)NC2=CC=CC=C2;Bitter;BitterDB;none;S=C(Nc1ccccc1)Nc1ccccc1;S=C(Nc1ccccc1)Nc1ccccc1;S=C(Nc1ccccc1)Nc1ccccc1
677;693;736366;C1=CC=C2C(=C1)C=CC=C2NC(=S)N;Bitter;BitterDB;none;NC(=S)Nc1cccc2ccccc12;NC(=S)Nc1cccc2ccccc12;NC(=S)Nc1cccc2ccccc12
678;694;736681;CCOC(=O)/C=C/C1=CC(=C(C=C1)O)OC;Bitter;BitterDB;none;CCOC(=O)/C=C/c1ccc(O)c(OC)c1;CCOC(=O)/C=C/c1cc(OC)c(O)cc1;CCOC(=O)/C=C/c1cc(OC)c(O)cc1
679;695;736756;C1C[C@H]2C(=O)N3CCC[C@H]3C(=O)N2C1;Bitter;BitterDB;none;O=C1[C@@H]2CCCN2C(=O)[C@@H]2CCCN12;O=C1[C@@H]2CCCN2C(=O)[C@@H]2CCCN12;O=C1[C@@H]2CCCN2C(=O)[C@@H]2CCCN12
680;696;820777;CC(=S)NC1=CC=CC=C1;Bitter;BitterDB;none;CC(=S)Nc1ccccc1;CC(=S)Nc1ccccc1;CC(=S)Nc1ccccc1
681;697;927723;CC(C)C[C@H]1C(=O)NCC(=O)N1;Bitter;BitterDB;none;CC(C)C[C@@H]1NC(=O)CNC1=O;CC(C)C[C@@H]1NC(=O)CNC1=O;CC(C)C[C@@H]1NC(=O)CNC1=O
682;698;969463;C[C@@H]1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F;Bitter;BitterDB;none;COc1c(N2CCN[C@H](C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12;COc1c2c(cc(F)c1N1CCN[C@H](C)C1)c(=O)c(C(=O)O)cn2C1CC1;COc1c2c(cc(F)c1N1CCN[C@H](C)C1)c(=O)c(C(=O)O)cn2C1CC1
683;699;1269845;C1=CNC(=S)NC1=O;Bitter;BitterDB;none;O=c1cc[nH]c(=S)[nH]1;O=c1cc[nH]c(=S)[nH]1;O=c1cc[nH]c(=S)[nH]1
684;700;1349907;CN1C=CNC1=S;Bitter;BitterDB;none;Cn1cc[nH]c1=S;Cn1cc[nH]c1=S;Cn1cc[nH]c1=S
685;701;1548943;CC(C)/C=C/CCCCC(=O)NCC1=CC(=C(C=C1)O)OC;Bitter;BitterDB;none;COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O;COc1c(O)ccc(CNC(=O)CCCC/C=C/C(C)C)c1;COc1c(O)ccc(CNC(=O)CCCC/C=C/C(C)C)c1
686;702;1549026;CC(=CCC/C(=C/COC(=O)C)/C)C;Bitter;BitterDB;none;CC(=O)OC/C=C(\C)CCC=C(C)C;CC(=O)OC/C=C(\C)CCC=C(C)C;CC(=O)OC/C=C(\C)CCC=C(C)C
687;703;1549517;C=CCNC(=S)N;Bitter;BitterDB;none;C=CCNC(N)=S;C=CCNC(N)=S;C=CCNC(N)=S
688;704;1803558;CC1([C@@H](O1)CC2=C(C=CC3=C2OC(=O)C=C3)OC)C;Bitter;BitterDB;none;COc1ccc2ccc(=O)oc2c1C[C@@H]1OC1(C)C;COc1c(C[C@@H]2OC2(C)C)c2c(cc1)ccc(=O)o2;COc1c(C[C@@H]2OC2(C)C)c2c(cc1)ccc(=O)o2
689;705;1917817;C1CCC(CC1)C(=O)N2C[C@@H]3C4=CC=CC=C4CCN3C(=O)C2;Bitter;BitterDB;none;O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@H]2C1;O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@H]2C1;O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@H]2C1
690;706;2723593;CC(=O)NC(=S)N;Bitter;BitterDB;none;CC(=O)NC(N)=S;CC(=O)NC(N)=S;CC(=O)NC(N)=S
691;707;2723650;C1CNC(=S)N1;Bitter;BitterDB;none;S=C1NCCN1;S=C1NCCN1;S=C1NCCN1
692;708;2723704;CNC(=S)N;Bitter;BitterDB;none;CNC(N)=S;CNC(N)=S;CNC(N)=S
693;709;2723754;C1CCC2=NC3=CC=CC=C3C(=C2C1)N.Cl;Bitter;BitterDB;none;Cl.Nc1c2c(nc3ccccc13)CCCC2;Cl.Nc1c2CCCCc2nc2ccccc12;Nc1c2CCCCc2nc2ccccc12
694;710;2763159;CCCCCCCC1=C(C(=O)C2=CC=CC=C2N1)O;Bitter;BitterDB;none;CCCCCCCc1[nH]c2ccccc2c(=O)c1O;CCCCCCCc1c(O)c(=O)c2ccccc2[nH]1;CCCCCCCc1c(O)c(=O)c2ccccc2[nH]1
695;711;2883177;CCN(CC)C1=NS(=O)(=O)C2=C1C=CC(=C2)[N+](=O)[O-];Bitter;BitterDB;none;CCN(CC)C1=NS(=O)(=O)c2cc([N+](=O)[O-])ccc21;CCN(CC)C1=NS(=O)(=O)c2c1ccc([N+](=O)[O-])c2;CCN(CC)C1=NS(=O)(=O)c2c1ccc([N+](=O)[O-])c2
696;712;3002043;CCCC1=CNC(=S)NC1=O;Bitter;BitterDB;none;CCCc1c[nH]c(=S)[nH]c1=O;CCCc1c[nH]c(=S)[nH]c1=O;CCCc1c[nH]c(=S)[nH]c1=O
697;713;3015189;C#CCCCCCCCCCCCC(CC(CO)O)O;Bitter;BitterDB;none;C#CCCCCCCCCCCCC(O)CC(O)CO;C#CCCCCCCCCCCCC(O)CC(O)CO;C#CCCCCCCCCCCCC(O)CC(O)CO
698;714;3032338;CCNC(=S)N;Bitter;BitterDB;none;CCNC(N)=S;CCNC(N)=S;CCNC(N)=S
699;715;3033332;CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C.Cl;Bitter;BitterDB;none;CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1.Cl;CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1.Cl;CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
700;716;3034683;C=CC1CNC(=S)O1;Bitter;BitterDB;none;C=CC1CNC(=S)O1;C=CC1CNC(=S)O1;C=CC1CNC(=S)O1
701;717;3082543;CC1(C2CCC34CC(CCC3C2(CCC1=O)C)C(C4)(COC5C(C(C(C(O5)CO)O)O)O)O)C;Bitter;BitterDB;none;CC1(C)C(=O)CCC2(C)C3CCC4CC3(CCC12)CC4(O)COC1OC(CO)C(O)C(O)C1O;CC1(C)C(=O)CCC2(C)C3CCC4CC3(CCC12)CC4(O)COC1OC(CO)C(O)C(O)C1O;CC1(C)C(=O)CCC2(C)C3CCC4CC3(CCC12)CC4(O)COC1OC(CO)C(O)C(O)C1O
702;718;3085401;CCCCCCCCCC(=O)OC[C@@H](CO)O;Bitter;BitterDB;none;CCCCCCCCCC(=O)OC[C@H](O)CO;CCCCCCCCCC(=O)OC[C@H](O)CO;CCCCCCCCCC(=O)OC[C@H](O)CO
703;719;3163205;CC(C)OC1=NS(=O)(=O)C2=CC=CC=C21;Bitter;BitterDB;none;CC(C)OC1=NS(=O)(=O)c2ccccc21;CC(C)OC1=NS(=O)(=O)c2ccccc12;CC(C)OC1=NS(=O)(=O)c2ccccc12
704;720;3624980;CC(=O)OCC(CC(CCCCCCCCCCCC=C)O)O;Bitter;BitterDB;none;C=CCCCCCCCCCCCC(O)CC(O)COC(C)=O;C=CCCCCCCCCCCCC(O)CC(O)COC(C)=O;C=CCCCCCCCCCCCC(O)CC(O)COC(C)=O
705;721;3625947;C1=CC=C(C=C1)CC(C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CC3=CC=CC=C3)C(=O)O)N;Bitter;BitterDB;none;NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O;NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O;NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O
706;722;3938245;C1=C(C2=C(C(=C1[N+](=O)[O-])O)C(=O)C3=C(C2=O)C(=CC(=C3O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-];Bitter;BitterDB;none;O=C1c2c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c2C(=O)c2c(O)c([N+](=O)[O-])cc([N+](=O)[O-])c21;O=C1c2c(C(=O)c3c1c([N+](=O)[O-])cc([N+](=O)[O-])c3O)c(O)c([N+](=O)[O-])cc2[N+](=O)[O-];O=C1c2c(C(=O)c3c1c([N+](=O)[O-])cc([N+](=O)[O-])c3O)c(O)c([N+](=O)[O-])cc2[N+](=O)[O-]
707;723;4214199;CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-].[Na+];Bitter;BitterDB;none;Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1.[Na+];Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1.[Na+];Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1
