id;Name;SMILE;Taste;Reference;Note
779;5283469;CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(CO)O;Bitter;BitterDB;none
780;5284346;O.O.[Cl-].[Cl-].[Ba+2];Bitter;BitterDB;none
781;5284359;[Cl-].[Cl-].[Ca+2];Bitter;BitterDB;none
782;5284443;CNC[C@@H](C1=CC(=CC=C1)O)O.Cl;Bitter;BitterDB;none
783;5284627;CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C;Bitter;BitterDB;none
784;5284648;C1=CC(=C(C=C1C2=COC3=C(C2=O)C=CC(=C3)O)O)O;Bitter;BitterDB;none
785;5284649;C1=CC(=CC=C1C2=COC3=CC(=C(C=C3C2=O)O)O)O;Bitter;BitterDB;none
786;5315831;CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC2=CC(=C3C(=C2)OC=C(C3=O)C4=CC=C(C=C4)O)O)O)O)O;Bitter;BitterDB;none
787;5315832;C1C(C(C(CC1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O;Bitter;BitterDB;none
788;5315892;C1=CC=C(C=C1)/C=C/CO;Bitter;BitterDB;none
789;5317238;CCOC(=O)/C=C/C1=CC(=C(C=C1)O)O;Bitter;BitterDB;none
790;5317284;COC1=C(C=C2C(=C1O)C(=O)C=C(O2)C3=CC(=C(C=C3)O)O)O;Bitter;BitterDB;none
791;5317750;COC1=C(C=C2C(=C1)C(=O)C(=CO2)C3=CC=C(C=C3)O)O;Bitter;BitterDB;none
792;5318517;C[C@@]12CC[C@H]([C@@]([C@H]1CCC(=C)[C@H]2C/C=C/3\[C@@H](COC3=O)O)(C)CO)O;Bitter;BitterDB;none
793;5319562;COC(=O)/C=C/C1=CC=C(C=C1)O;Bitter;BitterDB;none
794;5319879;CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO;Bitter;BitterDB;none
795;5322064;C1=CC=C(C(=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O;Bitter;BitterDB;none
796;5322065;C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C=C3)O)O)O;Bitter;BitterDB;none
797;5323592;CCC(C)C(=O)C1=C(C=C(C=C1OC2C(C(C(C(O2)CO)O)O)O)O)O;Bitter;BitterDB;none
798;5353547;CC(=O)OC(C)(C)/C=C/C(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3C=C(C(=O)C4(C)C)O)C)C)C)O)O;Bitter;BitterDB;none
799;5354883;C1=CC=C(C=C1)/C=C/COC=O;Bitter;BitterDB;none
800;5355853;CCC(=O)OC/C=C(\C)/CCC=C(C)C;Bitter;BitterDB;none
801;5357070;CC(C)C1=CC=C(C=C1)/C=N\O;Bitter;BitterDB;none
802;5359422;CN1CC[C@]23[C@@H]4[C@H](C=CC2[C@H]1CC5=C3C(=C(C=C5)OCCN6CCOCC6)O4)O;Bitter;BitterDB;none
803;5360315;[Mg+2].[Cl-].[Cl-];Bitter;BitterDB;none
804;5360696;CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC;Bitter;BitterDB;none
805;5362830;CC(C)CC(=O)OC/C=C(\C)/CCC=C(C)C;Bitter;BitterDB;none
806;5370611;CC(C(C1=CC=CC=C1)O)N(C)C/C=C/C2=CC=CC=C2;Bitter;BitterDB;none
807;5376891;C1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O;Bitter;BitterDB;none
808;5388962;CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O;Bitter;BitterDB;none
809;5447130;C1=C(OC(=C1)[N+](=O)[O-])/C=N/NC(=O)N;Bitter;BitterDB;none
810;5458201;C/C/1=C/CC/C(=C\[C@@H]2[C@@H](CC1)C(=C)C(=O)O2)/C;Bitter;BitterDB;none
811;5462438;CC[C@H]1CN2CCC3=CC(=C(C=C3[C@@H]2C[C@@H]1CC4=C5C=C(C(=O)C=C5CCN4)OC)OC)OC;Bitter;BitterDB;none
812;5463863;CN1CC[C@]23C[C@@H](CC[C@]2([C@H]1CC4=C3C(=C(C=C4)OC)OC)O)O;Bitter;BitterDB;none
813;5464110;CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O.Cl;Bitter;BitterDB;none
814;5464155;CCOCC1=C(C(=C(C2=C1OC(=O)C3=C(O2)C(=C(C=C3C)O)C=O)C)C(=O)O)O;Bitter;BitterDB;none
815;5466139;C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3O)O)O;Bitter;BitterDB;none
816;5488630;COC1=CC=C2C(=C(C3=C(N2)C=C(C=C3)Cl)N=C4C=C(C(=O)C(=C4)CN5CCCC5)CN6CCCC6)N1.OP(=O)(O)O.OP(=O)(O)O.OP(=O)(O)O.OP(=O)(O)O;Bitter;BitterDB;none
817;5492722;CC1=CC2=C(C[C@@H]3[C@@H]4[C@]2(CCCC4)CCN3C)C=C1.OP(=O)(O)O;Bitter;BitterDB;none
818;5702160;C1=C(N=C(S1)N=C(N)N)CSCC/C(=N/S(=O)(=O)N)/N;Bitter;BitterDB;none
819;5811533;C1=CC=C(C(=C1)/C=C/C(=O)C2=C(C=C(C=C2)O)O)O;Bitter;BitterDB;none
820;5980988;C1=CC(=CC=C1/C=C/C(=O)C2=C(C=CC(=C2)O)O)O;Bitter;BitterDB;none
821;6168296;COC1=CC(=CC(=C1O)OC)/C=C/C(=O)OC2C(C(C(C(O2)CO)O)O)O;Bitter;BitterDB;none
822;6336573;C[C@H](C(=O)[C@@]1(CCCN1C(=O)C(C)CS)C(=O)O)NC(=O)C2CCCCC2.C[C@H](C(=O)[C@@]1(CCCN1C(=O)C(C)CS)C(=O)O)NC(=O)C2CCCCC2.[Ca];Bitter;BitterDB;none
823;6426944;C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)N[C@H](CC3=CNC4=CC=CC=C43)C(=O)O)N;Bitter;BitterDB;none
824;6427001;CC(C)C[C@@H](C(=O)O)NC(=O)[C@@H](CC1=CNC2=CC=CC=C21)N;Bitter;BitterDB;none
825;6433476;CC(=O)OC(C)(C)/C=C/C(=O)[C@@](C)(C1[C@@H](C[C@@]2([C@@]1(CC(=O)[C@@]3([C@H]2CC=C4[C@H]3C[C@@H](C(=O)C4(C)C)O)C)C)C)O)O;Bitter;BitterDB;none
826;6435825;CCCOC(=O)/C=C\C1=CC=CO1;Bitter;BitterDB;none
827;6436032;CC(=CCC/C(=C/CC/C(=C/CN1CCN(CC1)CC2=CC3=C(C=C2)OCO3)/C)/C)C;Bitter;BitterDB;none
828;6436239;CCCCCCC/C=C\[C@@H](C#CC#C[C@H](C=C)O)O;Bitter;BitterDB;none
829;6436532;CCC1C(/C=C\C(=O)C(CC(C(C(C(=O)C(C(=O)O1)C)C)OC2C(C(CC(O2)C)N(C)C)O)C)C)(C)O;Bitter;BitterDB;none
830;6437604;C1C[C@@H]2[C@H]3C[C@@H](CN2C(=O)C1)[C@@H]4C[C@H](CCN4C3)OC(=O)/C=C/C5=CC=CC=C5;Bitter;BitterDB;none
831;6443019;C1=CC=C(C(=C1)C(=O)O)NC(=O)/C=C/C2=CC=C(C=C2)O;Bitter;BitterDB;none
832;6452133;COC1=C(C=CC(=C1)C=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O;Bitter;BitterDB;none
833;6473881;C/C/1=C\CC[C@@]2([C@@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C;Bitter;BitterDB;none
834;6526396;CC(C)OC(=O)OC(C)OC(=O)C1=C(CS[C@H]2N1C(=O)[C@H]2NC(=O)/C(=N\OC)/C3=CSC(=N3)N)COC;Bitter;BitterDB;none
835;6536825;CC(C(=O)[O-])O.CC(C(=O)[O-])O.[Mg+2];Bitter;BitterDB;none
836;6603838;CC[C@@H]1CN2CCC3=CC(=C(C=C3[C@H]2C[C@@H]1C[C@H]4C5=CC(=C(C=C5CCN4)OC)OC)OC)OC;Bitter;BitterDB;none
837;6850740;C/C=C/C1=CC=C(C=C1)OC.CC1(C2CCC(C2)(C1=O)C)C.COC1=CC=C(C=C1)CC=C;Bitter;BitterDB;none
838;6918840;C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C(=O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O;Bitter;BitterDB;none
839;6951076;C1=CC=C(C=C1)C[C@H]2C(=O)N[C@H](C(=O)N2)CO;Bitter;BitterDB;none
840;6992261;CC(C)[C@H]1C(=O)N2CCC[C@H]2C(=O)N1;Bitter;BitterDB;none
841;7074739;CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N1;Bitter;BitterDB;none
842;7075896;CC(C)[C@H]1C(=O)N[C@H](C(=O)N1)C(C)C;Bitter;BitterDB;none
843;7076347;CC(C)C[C@H]1C(=O)N[C@H](C(=O)N1)CC2=CC=CC=C2;Bitter;BitterDB;none
844;7076549;C1C(=O)N[C@H](C(=O)N1)CC2=CC=CC=C2;Bitter;BitterDB;none
845;7098673;C=CC/C(=N\OS(=O)(=O)[O-])/S[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O;Bitter;BitterDB;none
846;7408474;C[C@H]1C(=O)NCC(=O)N1;Bitter;BitterDB;none
847;7855578;C[C@@H]1C(=O)N[C@H](C(=O)N1)C(C)C;Bitter;BitterDB;none
848;9552079;C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl;Bitter;BitterDB;none
849;9568512;CC(=O)NC1=CC=C(C=C1)/C=N/NC(=S)N;Bitter;BitterDB;none
850;9576240;C=C[C@@H](C/C(=N\OS(=O)(=O)O)/SC1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O;Bitter;BitterDB;none
851;9601691;C1=CC=C2C(=C1)C(=CN2)C/C(=N\OS(=O)(=O)O)/SC3C(C(C(C(O3)CO)O)O)O;Bitter;BitterDB;none
852;9799506;CC1(C(CC2=C(C(=C(C=C2O1)OC)C(=O)/C=C/C3=CC=C(C=C3)O)O)O)C;Bitter;BitterDB;none
853;9806195;COC(CNC(=O)C1=CC=CC=C1OCC(=O)[O-])C[Hg+].[OH-].[Na+];Bitter;BitterDB;none
854;9809601;C[C@@]12CCC[C@@](C1CC[C@]34C2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)(C)C(=O)O;Bitter;BitterDB;none
855;9832662;C/C=C(\C)/C(=O)O[C@@H]1C[C@H]2[C@@H](CC=C3[C@@]2(CC[C@@H](C3)O[C@H]4C[C@@H](C([C@H](O4)C)O[C@H]5C[C@@H]([C@@H]([C@H](O5)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C)O)OC)O)OC)OC)C)[C@]7([C@]1([C@H](CC7)C(=O)C)C)O;Bitter;BitterDB;none
856;9858729;CCCCC[C@@H]([C@H](/C=C/[C@H](CCCCCCCC(=O)O)O)O)O;Bitter;BitterDB;none
857;9861088;C1=CC=C(C(=C1)C(=O)O)NC(=O)/C=C/C2=CC(=C(C=C2)O)O;Bitter;BitterDB;none
858;9909740;CCC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O;Bitter;BitterDB;none
859;9929676;CCCCC/C=C\C/C=C\CCCCC/C=C/C(=O)CC(COC(=O)C)O;Bitter;BitterDB;none
860;9970764;C[C@H]1[C@@H]2[C@H](CC(=C3[C@@H]([C@H]2OC1=O)C(=CC3=O)CO)C)O;Bitter;BitterDB;none
861;9986341;C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O;Bitter;BitterDB;none
862;10058590;CCCCCC(=O)N[C@H]1CCOC1=O;Bitter;BitterDB;none
863;10087955;COC1=C(C=CC(=C1)/C=C/C(=O)NC2=C(C=C(C=C2)O)C(=O)O)O;Bitter;BitterDB;none
864;10245047;COC1=C(C=CC(=C1)/C=C/C(=O)NC2=CC=CC=C2C(=O)O)O;Bitter;BitterDB;none
865;10317069;CC(=C)C(CC1=C(C=C(C(=C1O)C(=O)/C=C/C2=CC=C(C=C2)O)OC)O)O;Bitter;BitterDB;none
866;10338075;CC1(C=CC2=C(C(=C(C=C2O1)OC)C(=O)/C=C/C3=CC=C(C=C3)O)O)C;Bitter;BitterDB;none
867;10422228;C[C@H]1[C@@H]2CC[C@]3([C@@H](CCC(=C3[C@H]2OC1=O)C)O)C;Bitter;BitterDB;none
868;10866255;[11C](#N)[S-].[Na+];Bitter;BitterDB;none
869;10947890;COC1=CC(=CC(=C1O)OC)/C=C/C(=O)NC2=CC=CC=C2C(=O)O;Bitter;BitterDB;none
870;11024779;COC1=CC(=CC(=C1O)OC)/C=C/C(=O)NC2=C(C=C(C=C2)O)C(=O)O;Bitter;BitterDB;none
871;11046840;CC1(CCC2=C(C(=C(C=C2O1)OC)C(=O)/C=C/C3=CC=C(C=C3)OC)O)C;Bitter;BitterDB;none
872;11175902;CC(C)CC(=O)C1=C([C@@]([C@@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O;Bitter;BitterDB;none
873;11182062;C1[C@@H]([C@H](OC2=C1C(=CC(=C2[C@H]3[C@@H]([C@H](OC4=C(C(=CC(=C34)O)O)[C@H]5[C@@H]([C@H](OC6=CC(=CC(=C56)O)O)C7=CC(=C(C=C7)O)O)O)C8=CC(=C(C=C8)O)O)O)O)O)C9=CC(=C(C=C9)O)O)O;Bitter;BitterDB;none
874;11258152;CC(C)(C(CC1=C(C=C(C(=C1O)C(=O)/C=C/C2=CC=C(C=C2)O)OC)O)O)OC;Bitter;BitterDB;none
875;11469920;CC(C)CCCCCCC/C=C\C(=O)O;Bitter;BitterDB;none
876;11566620;CC(C)C(=O)C1=C(C=C(C=C1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O;Bitter;BitterDB;none
877;11722138;CC(=O)OC[C@@H]1[C@@H]([C@@H]([C@H](C(O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O[C@]3([C@H]([C@@H]([C@H](O3)COC(=O)C)OC(=O)C)OC(=O)C)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C;Bitter;BitterDB;none
878;11723200;C1=CC(=C(C=C1/C=C/C(=O)NC2=C(C=C(C=C2)O)C(=O)O)O)O;Bitter;BitterDB;none
879;11749558;CC(C)(C(CC1=C(C=C(C(=C1O)C(=O)/C=C/C2=CC=C(C=C2)O)OC)O)O)O;Bitter;BitterDB;none
880;11808090;C[C@]12CC[C@@H](O[C@@H]1[C@@H]3[C@@H](CCC(=O)C2)C(=C)C(=O)O3)O;Bitter;BitterDB;none
881;11902953;C[C@@H]1C(=O)N2CCC[C@H]2C(=O)N1;Bitter;BitterDB;none
882;11920271;COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@H]4CC[NH+]3C[C@@H]4C=C)O;Bitter;BitterDB;none
883;11937742;C[C@H]([C@H]1C(=O)N2CCC[C@H]2C(=O)N1)O;Bitter;BitterDB;none
884;11953937;C/C=C(/C)\C(=O)O[C@H]1C/C(=C/C[C@@H](/C(=C\[C@@H]2[C@@H]1C(=C)C(=O)O2)/C)O)/C;Bitter;BitterDB;none
885;11992452;C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)OC4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O;Bitter;BitterDB;none
886;12072107;C[C@H]1C(=O)N[C@H](C(=O)N1)CC2=CC=C(C=C2)O;Bitter;BitterDB;none
887;12255414;CC(C)C(C=O)C1=CC=CC=C1;Bitter;BitterDB;none
888;12310637;CC(=CCC1(C(=O)C(=C(C1=O)O)O)CC=C(C)C)C;Bitter;BitterDB;none
889;12343877;COC(=O)/C=C\C1=CC=C(C=C1)O;Bitter;BitterDB;none
890;12445012;CC(=O)O[C@H]1C[C@@H]2[C@H](C1=C)[C@@H]3[C@@H](CCC2=C)C(=C)C(=O)O3;Bitter;BitterDB;none
891;12581242;C1COCC(=C1)/C=N/O;Bitter;BitterDB;none
892;12719326;CCOC(=O)/C=C\C1=CC=C(C=C1)O;Bitter;BitterDB;none
893;12986068;CC(C)(C1CC2=C(C=C(C(=C2O1)C(=O)/C=C/C3=CC=C(C=C3)O)OC)O)O;Bitter;BitterDB;none
894;13654640;CC[C@H](C)[C@H]1C(=O)N2CCC[C@H]2C(=O)N1;Bitter;BitterDB;none
895;13783105;CC(C)[C@H]1C(=O)N[C@H](C(=O)N1)CC2=CC=CC=C2;Bitter;BitterDB;none
896;13783106;C[C@H]1C(=O)N[C@H](C(=O)N1)C(C)C;Bitter;BitterDB;none
897;13783108;C[C@H]1C(=O)N[C@H](C(=O)N1)CC2=CC=CC=C2;Bitter;BitterDB;none
898;13879946;C[C@H]1C(=O)N[C@H](C(=O)N1)CC(C)C;Bitter;BitterDB;none
899;13879951;C[C@H]1C(=O)N2CCC[C@H]2C(=O)N1;Bitter;BitterDB;none
900;13889982;CC(=O)CCC[C@@]1(C[C@@H]2[C@H](CC1=O)C(=C)C(=O)O2)C;Bitter;BitterDB;none
901;13895607;C/C/1=C\[C@@H]2[C@@H](CCC(=C)[C@@H](CC1)OO)C(=C)C(=O)O2;Bitter;BitterDB;none
902;13941336;CC1(CCC2=C3C(=C(C=C2O1)OC)C(=O)CC(O3)C4=CC=C(C=C4)O)C;Bitter;BitterDB;none
903;14056365;CCC(C)C(=O)OC1=C(C=C(C=C1)OC)/C=C/C;Bitter;BitterDB;none
904;14148199;CCCC(C)C1(C(=O)NC(=O)[N-]C1=O)CC=C.[Na+];Bitter;BitterDB;none
905;14162557;C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)(C)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)C(=O)O)O)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)O;Bitter;BitterDB;none
906;14162699;C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)COC(=O)CC(=O)O)O)O)O)O;Bitter;BitterDB;none
907;14191260;C/C/1=C\[C@H]([C@H]2[C@H](CC(=C)[C@@H](CC1)O)OC(=O)C2=C)O;Bitter;BitterDB;none
908;14409732;C1CC(N(C1)C(=O)C(CC2=CNC3=CC=CC=C32)N)C(=O)O;Bitter;BitterDB;none
909;14466151;C/C/1=C\[C@H]([C@H]2[C@H](/C=C(/[C@H](CC1)O)\C)OC(=O)C2=C)O;Bitter;BitterDB;none
910;15558357;CCC(C)C(=O)C1C(=O)C(=O)C(C1=O)(CC=C(C)C)CC=C(C)C;Bitter;BitterDB;none
911;15593124;C1[C@H]([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O;Bitter;BitterDB;none
912;15730308;C1=CC(=C(C=C1CCC(=O)NCCCCNCCCNC(=O)CCC2=CC(=C(C=C2)O)O)O)O;Bitter;BitterDB;none
913;15959354;C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O)CO;Bitter;BitterDB;none
914;16202215;CC1(C=CC(=O)[C@]23[C@@H]1[C@@H]([C@]([C@]45[C@H]2CC[C@H](C4)C(=C)C5=O)(OC3)O)O)C;Bitter;BitterDB;none
915;16204529;CC(C)CC(=O)OCCC(C)CCCC(=C)C;Bitter;BitterDB;none
916;16204922;CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)[O-].[Na+];Bitter;BitterDB;none
917;19908724;C1=CC2=C(C(=C1)[N+](=O)[O-])S(=O)(=O)NC2=O;Bitter;BitterDB;none
918;20846485;CN(C)C(=N)N=C(N)N.C(C(=O)O)C(CC(=O)O)(C(=O)O)O;Bitter;BitterDB;none
919;21575008;C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@H]6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@H]([C@H](CO8)O)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)C)C)C)OC1;Bitter;BitterDB;none
920;21593623;C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C(=O)O;Bitter;BitterDB;none
921;21594782;CC(C)CC(=O)C1=C([C@]([C@@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O;Bitter;BitterDB;none
922;21594783;CC(C)CC(=O)C1=C([C@H]([C@@H](C1=O)O)CC=C(C)C)O;Bitter;BitterDB;none
923;22890058;CC1(CC(=C(C1=O)O)N2CCCC2)O;Bitter;BitterDB;none
924;23250007;CC(C)(CCC1=C(C=C(C(=C1O)C(=O)/C=C/C2=CC=C(C=C2)O)OC)O)O;Bitter;BitterDB;none
925;23250008;CC(=CCC1=C(C(=C(C(=C1O)C(=O)/C=C/C2=CC=C(C=C2)O)OC)CC=C(C)C)O)C;Bitter;BitterDB;none
926;23251195;CC(C)(CCC1=C(C=C(C2=C1OC(CC2=O)C3=CC=C(C=C3)O)OC)O)O;Bitter;BitterDB;none
927;23251201;COC1=C(C2=C(C=CO2)C(=C1)O)C(=O)/C=C/C3=CC=C(C=C3)O;Bitter;BitterDB;none
928;23251203;CC1(CCC2=C(C=C(C(=C2O1)C(=O)/C=C/C3=CC=C(C=C3)O)OC)O)C;Bitter;BitterDB;none
929;23251204;CC1(C(CC2=C(C=C(C(=C2O1)C(=O)/C=C/C3=CC=C(C=C3)O)OC)O)O)C;Bitter;BitterDB;none
930;23424040;COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O;Bitter;BitterDB;none
931;23665706;C1CCC(CC1)NS(=O)(=O)[O-].[Na+];Bitter;BitterDB;none
932;23671932;CN(C)C=NC1=C(C=C(C(=C1I)CCC(=O)[O-])I)I.[Na+];Bitter;BitterDB;none
933;23674503;C1=CC=C(C(=C1)O)S(=O)(=O)[O-].[Na+];Bitter;BitterDB;none
934;23674755;C1=CC=C(C(=C1)OCO)S(=O)(=O)[O-].[K+];Bitter;BitterDB;none
935;23674889;CCC1(C(=O)NC(=NC1=O)[O-])C2=CC=CC=C2.[Na+];Bitter;BitterDB;none
936;23675769;CC(=O)[O-].CN1C2=C(C(=O)N(C1=O)C)NC=N2.[Na+];Bitter;BitterDB;none
937;23676152;CCCC(C)C1(C(=O)NC(=NC1=O)[O-])CC.[Na+];Bitter;BitterDB;none
938;23681217;CCC1(C(=O)NC(=NC1=O)[O-])CC.[Na+];Bitter;BitterDB;none
939;23682211;C=CC/C(=N\OS(=O)(=O)[O-])/S[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O.[K+];Bitter;BitterDB;none
940;23683747;CC1=CC(=NS(=O)(=O)O1)[O-].[K+];Bitter;BitterDB;none
941;23689390;CCC1(C(=O)NC(=NC1=O)[O-])CCC(C)C.[Na+];Bitter;BitterDB;none
942;23690439;CCC(C)C1(C(=O)NC(=NC1=O)[O-])CC.[Na+];Bitter;BitterDB;none
943;23690440;CCCCCCC1(C(=O)NC(=NC1=O)[O-])CC.[Na+];Bitter;BitterDB;none
944;23691023;CCC(C)C1(C(=O)NC(=NC1=O)[O-])CC(=C)Br.[Na+];Bitter;BitterDB;none
945;23900015;C1C2=C(C(=C3C(=C2)C=CC=C3O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)C(=O)O1;Bitter;BitterDB;none
946;24191231;CC(C)C1(C(=O)NC(=O)NC1=O)CC=C.[Na];Bitter;BitterDB;none
947;24191666;CC/C=C(\C)/C1(C(=O)NC(=O)NC1=O)CC.[Na];Bitter;BitterDB;none
948;24196530;CC1=NC(=NC=C1)NS(=O)(=O)C2=CC=C(C=C2)N.[Na];Bitter;BitterDB;none
949;24197253;CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2.[Na];Bitter;BitterDB;none
950;24721373;C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)(C)C(=O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O;Bitter;BitterDB;none
951;24832100;CCCCCCCCCCCCCCCCCC(=O)OCCOCC(C1C(C(CO1)OCCOC)OCCOC)OCCOC;Bitter;BitterDB;none
952;24832103;C/C(=C/CC[C@@]1([C@H]2CC[C@H](C2)C1=C)C)/COC(=O)C.C/C(=C/CC[C@@]1(C2C[C@@H]3C1(C3C2)C)C)/COC(=O)C;Bitter;BitterDB;none
953;24882861;C/C=C(\C)/C(=O)O[C@@H]1C[C@H]2[C@@H](CC=C3[C@@]2(CC[C@@H](C3)O)C)[C@@]4([C@]1([C@@H](CC4)C(=O)C)C)O;Bitter;BitterDB;none
954;25001841;CC(C)CC(=O)C1=C(C(=C(C(=C1O)[C@H]2[C@@H]([C@@H]([C@H]([C@H](O2)CO)O)O)O)O)C3[C@@H]([C@@H]([C@H]([C@H](O3)CO)O)O)O)O;Bitter;BitterDB;none
955;25200812;C1=CC(=C(C=C1C=CC(=O)C2=C(C=C(C=C2O)O)O)O)O;Bitter;BitterDB;none
956;25220884;CC(C)C[C@H]1C(=O)N[C@H](C(=O)N1)C(C)C;Bitter;BitterDB;none
957;38361768;C[C@@H]1C[C@H]([C@@]2([C@@H]([C@@]13C[C@H](OC3=O)C4=COC=C4)C[C@@H](C[C@]25CO5)O)COC(=O)C)O;Bitter;BitterDB;none
958;44201359;CC(C)C(=O)C1=C([C@@]([C@@H](C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O;Bitter;BitterDB;none
959;44274566;CC(C1=CCC=C(C1)/C=N/O)OC;Bitter;BitterDB;none
960;44274567;CC(C1CCC=C(C1)/C=N/O)OC;Bitter;BitterDB;none
961;44274588;CC(COC)(C1CCC(=CC1)/C=N/O)O;Bitter;BitterDB;none
